[2023-02-23T10:24:50.468] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:24:55.512] [INFO] access - path:/api/basic/enum/allByType?typeId=%201&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:25:01.097] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:25:16.978] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:31:25.406] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:32:23.819] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:32:52.902] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:33:05.787] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:33:14.559] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:35:42.644] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:37:29.868] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:37:49.074] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:38:33.750] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:39:34.848] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:39:52.808] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:42:07.984] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:44:35.981] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:45:10.454] [INFO] access - path:/api/basic/enumType/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:45:14.180] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:47:31.322] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:52:09.727] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:52:23.194] [INFO] access - path:/api/basic/enumType/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:52:57.170] [INFO] access - path:/api/basic/enumType/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:53:17.640] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:55:55.977] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:56:08.319] [INFO] access - path:/api/basic/enumType/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:56:19.321] [INFO] access - path:/api/basic/enumType/list?pageNum=1&pageSize=10&typeName=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:56:26.099] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:56:31.545] [INFO] access - path:/api/basic/enumType/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:56:48.214] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:57:02.115] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
